Aktiviti,Masa,Catatan
1. Ketibaan para tetamu,1930,Pre-dinner drink
2. Ketibaan Tetamu VVIP,1955,Disambut oleh AJK
3. Ketibaan PAT,2000,
4. Ketibaan YB Timb Menteri Pertahanan,2005,
5. Keberangkatan tiba DYMM Tuanku Raja Perlis dan DYMM Tuanku Raja Perempuan Perlis,2020,Penyerahan Jambangan Bunga kepada DYMM Raja Perempuan Perlis
,-,Diiring ke ruang khas sesi bergambar
,-,AJK bersedia di ruang khas untuk sesi bergambar
6. DYMM Tuanku Raja Perlis dan DYMM Tuanku Raja Perempuan Perlis serta VVIP ke bilik menunggu,2030,AJK diperkenalkan kepada DYMM Tuanku Raja Perlis
7. Semua tetamu dijemput masuk ke dewan santapan,2045,
8. Keberangkatan DYMM Tuanku Raja Perlis dan DYMM Tuanku Raja Perempuan Perlis diringi VVIP ke dewan santapan,2050,Diringi bagpipe
,-,Juru acara umumkan tetamu dan pasangan berdiri
,-,Lagu negeri Perlis dimainkan disusuli lagu veteran
,-,Bacaan doa
9. Santapan dimulakan,2105-2230,Diiringi BKTD 
,-,Montaj Aktiviti RAFOC
10. Ucapan Presiden RAFOC,2235,
11. Penyampaian Sijil Penghargaan Sempena Pengurniaan Darjah Seri Setia Mahkota (SSM) kepada YABhg. Jen Tun (Dr) Mohamed Hashim bin Mohd Ali (B),2245,Presiden RAFOC mohon perkenan Tuanku Raja Perlis untuk menyempurnakan acara
,-,Montaj khas
,-,Penyampaian Sijil Penghargaan
12. Penyampaian Sijil Kenangan 50 tahun sejak ditauliahkan sebagai Pegawai Bertauliah Angkatan Tentera Malaysia,2255,
,-,Montaj khas
,-,Penyampaian Sijil Kenangan 50 tahun
13. Penyampaian cendera kenangan kepada DYMM Tuanku Raja Perlis oleh:,-,Presiden RAFOC mohon perkenan Tuanku Raja Perlis untuk menyempurnakan acara
- Wakil RMS Sandhurst,
- Wakil Black Beret,
- Wakil WESTSTAR,
- Wakil CIMB,
14. Persembahan hiburan,2315-2345,Diiringi Orkestra BKTD
15. Penyerahan gambar kenangan kepada DYMM Tuanku Raja Perlis dan VVIP di meja Diraja,2350,Presiden RAFOC mohon perkenan Tuanku Raja Perlis untuk menyempurnakan acara
16. DYMM Tuanku Raja Perlis dan DYMM Tuanku Raja Perempuan Perlis meninggalkan majlis,2359,Lagu negeri Perlis dimainkan
