Masa,Aktiviti,Catatan
1. 1930,Ketibaan para tetamu,Pre-dinner drink
2. 1955,Ketibaan Tetamu VVIP,Disambut oleh AJK
3. 2000,Ketibaan PAT,
4. 2005,Ketibaan YB Timb Menteri Pertahanan,
5. 2020,Keberangkatan tiba DYMM Tuanku Raja Perlis dan DYMM Tuanku Raja Perempuan Perlis,Penyerahan Jambangan Bunga kepada DYMM Raja Perempuan Perlis
,,Diiring ke ruang khas sesi bergambar
,,AJK bersedia di ruang khas untuk sesi bergambar
6. 2030,DYMM Tuanku Raja Perlis dan DYMM Tuanku Raja Perempuan Perlis serta VVIP ke bilik menunggu,AJK diperkenalkan kepada DYMM Tuanku Raja Perlis
7. 2045,Semua tetamu dijemput masuk ke dewan jamuan,
8. 2050,Keberangkatan DYMM Tuanku Raja Perlis dan DYMM Tuanku Raja Perempuan Perlis diringi VVIP ke dewan jamuan,Diringi bagpipe
,,Juru acara umumkan tetamu dan pasangan berdiri,lagu negeri Perlis dimainkan disusuli lagu veteran
,,bacaan doa
9. 2105-2230,Jamuan dimulakan,Diiringi orkestra BKTD 
,,Montaj Aktiviti RAFOC
10. 2235,Ucapan Presiden RAFOC,
11. 2245,Penyampaian Sijil Penghargaan Sempena Pengurniaan Darjah Seri Setia Mahkota (SSM) kepada Jen Tun Dato' Seri Dr Mohamed Hashim bin Mohd Ali (B),Presiden RAFOC mohon perkenan Tuanku Raja Perlis
,,Montaj khas
,,Penyampaian Sijil Penghargaan
12. 2255,Penyampaian Sijil Kenangan 50 tahun sejak ditauliahkan sebagai Pegawai Bertauliah Angkatan Tentera Malaysia,Presiden RAFOC mohon perkenan Tuanku Raja Perlis
,,Montaj khas
,,Penyampaian Sijil Kenangan 50 tahun
13. 2300-2345,Persembahan hiburan,Diiringi Orkestra BKTD
14. 2359,DYMM Tuanku Raja Perlis dan DYMM Tuanku Raja Perempuan Perlis meninggalkan majlis,disusuli oleh VVIP,
